"SETTLEMENTDATE","REGIONID","TOTALDEMAND","SS_SOLAR_UIGF","SS_WIND_UIGF","SS_SOLAR_CLEAREDMW","SS_WIND_CLEAREDMW"
2026-08-31 01:40:00,NSW1,7103.19000,0.00000,277.42600,0.00000,277.42600
2026-08-31 01:40:00,QLD1,5501.09000,0.00000,1590.64082,0.00000,1590.64082
2026-08-31 01:40:00,SA1,1397.56000,0.00000,798.49815,0.00000,798.49815
2026-08-31 01:40:00,TAS1,933.67000,0.00000,249.47582,0.00000,249.47582
2026-08-31 01:40:00,VIC1,5025.85000,0.00000,132.25240,0.00000,132.25240
2026-08-31 01:45:00,NSW1,7120.51000,0.00000,276.31430,0.00000,276.31430
2026-08-31 01:45:00,QLD1,5490.91000,0.17000,1580.95703,0.17000,1580.95703
2026-08-31 01:45:00,SA1,1390.59000,0.00000,785.28033,0.00000,785.28033
2026-08-31 01:45:00,TAS1,927.22000,0.00000,250.54242,0.00000,250.54242
2026-08-31 01:45:00,VIC1,4981.67000,0.00000,135.53691,0.00000,135.53691
2026-08-31 01:50:00,NSW1,7196.96000,0.00000,278.07040,0.00000,278.07040
2026-08-31 01:50:00,QLD1,5419.96000,0.00000,1555.85751,0.00000,1555.85751
2026-08-31 01:50:00,SA1,1402.43000,0.00000,795.12783,0.00000,795.12783
2026-08-31 01:50:00,TAS1,931.74000,0.00000,250.07547,0.00000,250.07547
2026-08-31 01:50:00,VIC1,4950.46000,0.00000,137.79367,0.00000,137.79367
2026-08-31 01:55:00,NSW1,7200.40000,0.00000,280.46340,0.00000,280.46340
2026-08-31 01:55:00,QLD1,5420.24000,0.17000,1547.59789,0.17000,1547.59789
2026-08-31 01:55:00,SA1,1417.86000,0.00000,811.72994,0.00000,811.72994
2026-08-31 01:55:00,TAS1,925.60000,0.00000,246.82989,0.00000,246.82989
2026-08-31 01:55:00,VIC1,4942.56000,0.00000,137.01822,0.00000,137.01822
2026-08-31 02:00:00,NSW1,7174.37000,0.00000,272.75880,0.00000,272.75880
2026-08-31 02:00:00,QLD1,5381.72000,0.17000,1576.79693,0.17000,1576.79693
2026-08-31 02:00:00,SA1,1432.93000,0.00000,832.12582,0.00000,832.12582
2026-08-31 02:00:00,TAS1,927.99000,0.00000,238.40886,0.00000,238.40886
2026-08-31 02:00:00,VIC1,4925.45000,0.00000,132.07171,0.00000,132.07171
2026-08-31 02:05:00,NSW1,7103.07000,0.00000,276.74900,0.00000,276.74900
2026-08-31 02:05:00,QLD1,5416.50000,0.00000,1554.77213,0.00000,1554.77213
2026-08-31 02:05:00,SA1,1434.00000,0.00000,842.62412,0.00000,842.62412
2026-08-31 02:05:00,TAS1,924.42000,0.00000,237.06034,0.00000,237.06034
2026-08-31 02:05:00,VIC1,4920.59000,0.00000,135.21652,0.00000,135.21652
2026-08-31 02:10:00,NSW1,7094.54000,0.00000,268.38060,0.00000,268.38060
2026-08-31 02:10:00,QLD1,5375.65000,0.17000,1555.85833,0.17000,1555.85833
2026-08-31 02:10:00,SA1,1436.02000,0.00000,841.36679,0.00000,841.36679
2026-08-31 02:10:00,TAS1,931.66000,0.00000,234.33729,0.00000,234.33729
2026-08-31 02:10:00,VIC1,4835.48000,0.00000,141.87076,0.00000,141.87076
2026-08-31 02:15:00,NSW1,7026.36000,0.00000,273.37850,0.00000,273.37850
2026-08-31 02:15:00,QLD1,5435.99000,0.17000,1537.49248,0.17000,1537.49248
2026-08-31 02:15:00,SA1,1431.40000,0.00000,871.72928,0.00000,871.72928
2026-08-31 02:15:00,TAS1,937.33000,0.00000,236.26643,0.00000,236.26643
2026-08-31 02:15:00,VIC1,4872.45000,0.00000,147.05042,0.00000,147.05042
2026-08-31 02:20:00,NSW1,7037.19000,0.00000,281.60290,0.00000,281.60290
2026-08-31 02:20:00,QLD1,5379.23000,0.00000,1531.41054,0.00000,1531.41054
2026-08-31 02:20:00,SA1,1415.24000,0.00000,908.13979,0.00000,908.13979
2026-08-31 02:20:00,TAS1,933.17000,0.00000,241.91505,0.00000,241.91505
2026-08-31 02:20:00,VIC1,4875.54000,0.00000,147.85136,0.00000,147.85136
2026-08-31 02:25:00,NSW1,6987.50000,0.00000,282.77950,0.00000,282.77950
2026-08-31 02:25:00,QLD1,5417.55000,0.17000,1508.41805,0.17000,1508.41805
2026-08-31 02:25:00,SA1,1422.40000,0.00000,931.75940,0.00000,931.75940
2026-08-31 02:25:00,TAS1,918.86000,0.00000,242.94041,0.00000,242.94041
2026-08-31 02:25:00,VIC1,4857.73000,0.00000,146.97066,0.00000,146.97066
2026-08-31 02:30:00,NSW1,6895.14000,0.00000,284.33032,0.00000,284.33032
2026-08-31 02:30:00,QLD1,5409.57000,0.17000,1524.96035,0.17000,1524.96035
2026-08-31 02:30:00,SA1,1425.40000,0.00000,938.22282,0.00000,938.22282
2026-08-31 02:30:00,TAS1,934.75000,0.00000,242.28992,0.00000,242.28992
2026-08-31 02:30:00,VIC1,4847.42000,0.00000,151.31342,0.00000,151.31342
2026-08-31 02:35:00,NSW1,6885.27000,0.00000,288.73670,0.00000,288.73670
2026-08-31 02:35:00,QLD1,5416.02000,0.00000,1511.42045,0.00000,1511.42045
2026-08-31 02:35:00,SA1,1423.47000,0.00000,935.99212,0.00000,935.99212
2026-08-31 02:35:00,TAS1,939.33000,0.00000,242.55671,0.00000,242.55671
2026-08-31 02:35:00,VIC1,4846.80000,0.00000,154.16767,0.00000,154.16767
2026-08-31 02:40:00,NSW1,6850.94000,0.00000,297.41140,0.00000,297.41140
2026-08-31 02:40:00,QLD1,5333.24000,0.17000,1503.25446,0.17000,1503.25446
2026-08-31 02:40:00,SA1,1425.85000,0.00000,937.02198,0.00000,937.02198
2026-08-31 02:40:00,TAS1,937.81000,0.00000,242.67991,0.00000,242.67991
2026-08-31 02:40:00,VIC1,4841.39000,0.00000,150.40495,0.00000,150.40495
2026-08-31 02:45:00,NSW1,6850.18000,0.00000,299.34260,0.00000,299.34260
2026-08-31 02:45:00,QLD1,5402.80000,0.17000,1494.24475,0.17000,1494.24475
2026-08-31 02:45:00,SA1,1426.89000,0.00000,930.07391,0.00000,930.07391
2026-08-31 02:45:00,TAS1,935.44000,0.00000,232.32896,0.00000,232.32896
2026-08-31 02:45:00,VIC1,4758.42000,0.00000,143.12669,0.00000,143.12669
2026-08-31 02:50:00,NSW1,6860.00000,0.00000,305.47170,0.00000,305.47170
2026-08-31 02:50:00,QLD1,5458.60000,0.00000,1479.63760,0.00000,1479.63760
2026-08-31 02:50:00,SA1,1415.01000,0.00000,923.43421,0.00000,923.43421
2026-08-31 02:50:00,TAS1,944.49000,0.00000,233.79543,0.00000,233.79543
2026-08-31 02:50:00,VIC1,4740.80000,0.00000,137.49995,0.00000,137.49995
2026-08-31 02:55:00,NSW1,6886.66000,0.00000,313.22220,0.00000,313.22220
2026-08-31 02:55:00,QLD1,5408.25000,0.00000,1488.91822,0.00000,1488.91822
2026-08-31 02:55:00,SA1,1385.22000,0.00000,911.25786,0.00000,911.25786
2026-08-31 02:55:00,TAS1,941.31000,0.00000,229.68845,0.00000,229.68845
2026-08-31 02:55:00,VIC1,4808.05000,0.00000,138.34008,0.00000,138.34008
2026-08-31 03:00:00,NSW1,6835.59000,0.00000,317.92883,0.00000,317.92883
2026-08-31 03:00:00,QLD1,5352.91000,0.17000,1494.05971,0.17000,1494.05971
2026-08-31 03:00:00,SA1,1379.69000,0.00000,922.95085,0.00000,922.95085
2026-08-31 03:00:00,TAS1,947.15000,0.00000,232.55949,0.00000,232.55949
2026-08-31 03:00:00,VIC1,4785.37000,0.00000,137.15706,0.00000,137.15706
2026-08-31 03:05:00,NSW1,6819.17000,0.00000,324.77783,0.00000,324.77783
2026-08-31 03:05:00,QLD1,5402.62000,0.17000,1499.09095,0.17000,1499.09095
2026-08-31 03:05:00,SA1,1382.74000,0.00000,897.48264,0.00000,897.48264
2026-08-31 03:05:00,TAS1,942.42000,0.00000,231.43994,0.00000,231.43994
2026-08-31 03:05:00,VIC1,4803.66000,0.00000,134.83164,0.00000,134.83164
2026-08-31 03:10:00,NSW1,6899.26000,0.00000,318.15615,0.00000,318.15615
2026-08-31 03:10:00,QLD1,5305.02000,0.17000,1490.18584,0.17000,1490.18584
2026-08-31 03:10:00,SA1,1378.71000,0.00000,889.81930,0.00000,889.81930
2026-08-31 03:10:00,TAS1,942.46000,0.00000,226.87553,0.00000,226.87553
2026-08-31 03:10:00,VIC1,4775.02000,0.00000,127.24589,0.00000,127.24589
2026-08-31 03:15:00,NSW1,6866.66000,0.00000,310.14130,0.00000,310.14130
2026-08-31 03:15:00,QLD1,5326.19000,0.17000,1501.00227,0.17000,1501.00227
2026-08-31 03:15:00,SA1,1385.55000,0.00000,904.03442,0.00000,904.03442
2026-08-31 03:15:00,TAS1,942.46000,0.00000,223.13341,0.00000,223.13341
2026-08-31 03:15:00,VIC1,4809.68000,0.00000,122.78843,0.00000,122.78843
2026-08-31 03:20:00,NSW1,6885.39000,0.00000,303.00327,0.00000,303.00327
2026-08-31 03:20:00,QLD1,5325.59000,0.00000,1519.43823,0.00000,1519.43823
2026-08-31 03:20:00,SA1,1385.12000,0.00000,904.76205,0.00000,904.76205
2026-08-31 03:20:00,TAS1,950.11000,0.00000,222.57039,0.00000,222.57039
2026-08-31 03:20:00,VIC1,4770.45000,0.00000,124.28839,0.00000,124.28839
2026-08-31 03:25:00,NSW1,6826.91000,0.00000,297.55393,0.00000,297.55393
2026-08-31 03:25:00,QLD1,5404.87000,0.17000,1523.36917,0.17000,1523.36917
2026-08-31 03:25:00,SA1,1376.14000,0.00000,900.41861,0.00000,900.41861
2026-08-31 03:25:00,TAS1,949.22000,0.00000,217.72930,0.00000,217.72930
2026-08-31 03:25:00,VIC1,4774.18000,0.00000,126.77367,0.00000,126.77367
